gene,rho,pval
ENSG00000005206.15,0.5041741255253246,3.618475742407527e-29
ENSG00000103248.16,0.5039662498767558,3.8448045230491296e-29
ENSG00000101337.14,0.5037258619348519,4.1240253213801213e-29
ENSG00000031823.13,0.5036577990062159,4.206662322392153e-29
ENSG00000105618.12,0.5034487684085097,4.4708230794421305e-29
ENSG00000015532.8,0.5033168729347868,4.645875682189624e-29
ENSG00000107140.14,0.5031827078564658,4.8308912696062837e-29
ENSG00000100105.16,0.5031738101036888,4.843415794634594e-29
ENSG00000115211.14,0.5030280865789906,5.053165000156539e-29
ENSG00000097007.16,0.5029299105679726,5.199513744748883e-29
ENSG00000103174.10,0.5025380847628341,5.82651453306106e-29
ENSG00000108312.13,0.5025122992010511,5.870303815310317e-29
ENSG00000105671.10,0.5024850600383386,5.916915023713145e-29
ENSG00000109066.12,0.5023936158172123,6.076084981119881e-29
ENSG00000103264.14,0.5023146793305449,6.216882819844255e-29
ENSG00000039523.16,0.5018787260658688,7.054591389112966e-29
ENSG00000104946.9,0.5016846099097308,7.462620136296661e-29
ENSG00000106244.11,0.5015749500525005,7.703346680276546e-29
ENSG00000087152.14,0.5015586696725323,7.739734006544963e-29
ENSG00000068394.10,0.5013762446432573,8.15926448754107e-29
ENSG00000117408.9,0.5013738463088805,8.164927130379083e-29
ENSG00000105698.14,0.5013268380098042,8.276704826386232e-29
ENSG00000076201.13,0.501314004240753,8.307483327179181e-29
ENSG00000105722.8,0.500592749548022,1.0231858622157958e-28
ENSG00000010322.14,0.5005124121396989,1.0471766494260271e-28
ENSG00000087460.22,0.5001693862962686,1.1560255526047088e-28
ENSG00000107021.14,0.4999866229366597,1.21851231472111e-28
ENSG00000102901.11,0.4998261356757053,1.2761286545658841e-28
ENSG00000106330.10,0.49971411631705726,1.317932365963305e-28
ENSG00000063169.9,0.49968575125150205,1.3287307483061836e-28
ENSG00000102181.18,0.4995653391232247,1.3755528824034598e-28
ENSG00000063660.7,0.49950356903103166,1.4002013280462607e-28
ENSG00000110104.10,0.4994509600435987,1.421538083255102e-28
ENSG00000082781.10,0.4994218831856103,1.4334684384453738e-28
ENSG00000103197.15,0.49938000936782173,1.4508235361868007e-28
ENSG00000072062.12,0.49929347080551906,1.4873513373928717e-28
ENSG00000104859.13,0.4991152782248133,1.5654534791989714e-28
ENSG00000116337.14,0.49902272592224745,1.607605171238045e-28
ENSG00000071859.13,0.4984681593654972,1.8847245777947851e-28
ENSG00000104853.14,0.4983269515092942,1.9625217054694963e-28
ENSG00000049540.15,0.49811524030007637,2.0851461667459537e-28
ENSG00000062582.12,0.4978050688995164,2.2785939060208528e-28
ENSG00000007255.9,0.4975107794040912,2.478495080468506e-28
ENSG00000103199.12,0.4973489766558816,2.595688583266353e-28
ENSG00000065029.13,0.4972513868793078,2.6690034881067383e-28
ENSG00000118894.13,0.4971970251174515,2.7107268822804607e-28
ENSG00000107829.12,0.4967746120123688,3.0576724365136764e-28
ENSG00000103932.10,0.4967205228701856,3.1051549406537335e-28
ENSG00000089280.17,0.49663202050218447,3.1844239698470076e-28
ENSG00000105583.8,0.4961681883587542,3.6337415243325925e-28
ENSG00000089351.13,0.49611591583653164,3.6881509761419786e-28
ENSG00000099904.14,0.4960735157992208,3.732875192843585e-28
ENSG00000077348.7,0.49593783576131784,3.8796257958870133e-28
ENSG00000070047.10,0.4959170590070823,3.9025956618026614e-28
ENSG00000110108.8,0.49590990117975153,3.9105401310149953e-28
ENSG00000105204.12,0.49537029508371927,4.557825558021387e-28
ENSG00000044090.7,0.4953620419809325,4.568505983940228e-28
ENSG00000058600.14,0.49531958659461806,4.62384009198846e-28
ENSG00000105771.12,0.49504237734801176,5.001780600305632e-28
ENSG00000084731.12,0.4947813590632812,5.385487744520517e-28
ENSG00000105085.9,0.49457755452551727,5.705188964038144e-28
ENSG00000102030.14,0.4944828086508565,5.8601316777151815e-28
ENSG00000049656.12,0.4943744474944159,6.0424433425395545e-28
ENSG00000068137.13,0.4943523632816238,6.080280742363235e-28
ENSG00000091732.14,0.4941289588422335,6.476457907935296e-28
ENSG00000115041.11,0.494120606654981,6.491753957641575e-28
ENSG00000105229.5,0.49384555817706827,7.015919079926172e-28
ENSG00000105397.12,0.4933222310095898,8.131359740423942e-28
ENSG00000063244.11,0.4932881911260839,8.209701213819568e-28
ENSG00000114988.10,0.4932713266161206,8.248790097837237e-28
ENSG00000087884.13,0.49306981557647406,8.73032934578084e-28
ENSG00000105281.11,0.4929197606851139,9.106855075376367e-28
ENSG00000110711.8,0.49291801431701426,9.111330302120219e-28
ENSG00000080845.16,0.49268019037072236,9.741523438761028e-28
ENSG00000112578.8,0.4924908413042215,1.0273904902889417e-27
ENSG00000102858.11,0.49246040563547977,1.036212070649638e-27
ENSG00000106665.14,0.4919924713845886,1.181650638303266e-27
ENSG00000112787.11,0.49185043529197187,1.2296618147869028e-27
ENSG00000099385.10,0.49178468951478066,1.252533091601507e-27
